companyName,industryField,positionName,jobNature,createTime,financeStage,companyLabelList,companySize,city,district,positionType,education,positionAdvantage,Salary,salaryMax,salaryMin,salaryAvg,workYear
航班管家,移动互联网,企业客户销售代表,全职,2017-05-10 08:51:53,成熟型(C轮),"['技能培训', '带薪年假', '扁平管理', '绩效津贴']",500-2000人,武汉,武昌区,市场/商务/销售类,大专,"福利好,逼格高,发展快,有钱花",6k-8k,8,6,7.0,1-3年
汇金智融,"移动互联网,电子商务",高级手机移动开发人员（H5）,全职,2017-05-10 08:51:47,上市公司,"['年底双薪', '绩效奖金', '带薪年假', '弹性工作']",150-500人,深圳,南山区,开发/测试/运维类,本科,"互联网金融,绩效奖金,加班费",10k-13k,13,10,11.5,3-5年
汽车之家,"移动互联网,文化娱乐",高级AR开发工程师,全职,2017-05-10 08:51:30,上市公司,"['技能培训', '节日礼物', '带薪年假', '绩效奖金']",2000人以上,北京,海淀区,开发/测试/运维类,本科,绩效奖金、年终奖、带薪年病假,15k-25k,25,15,20.0,5-10年
博赢环深,移动互联网,Java项目经理,全职,2017-05-10 08:51:27,成长型(A轮),"['技能培训', '股票期权', '专项奖金', '带薪年假']",15-50人,宁波,鄞州区,开发/测试/运维类,本科,"福利好,待遇高,上升空间足",15k-20k,20,15,17.5,3-5年
中国信通院,"信息安全,移动互联网",终端芯片研究与测试资深工程师,全职,2017-05-10 08:51:25,成熟型(不需要融资),"['年终分红', '绩效奖金', '带薪年假', '午餐补助']",2000人以上,北京,None,开发/测试/运维类,硕士,"事业单位,政府智库,六险一金",15k-20k,20,15,17.5,不限
CNICG,移动互联网,Java实习生（SIOV）,实习,2017-05-10 08:51:17,成长型(不需要融资),"['扁平管理', '定期体检', '五险一金']",50-150人,广州,南沙区,开发/测试/运维类,本科,"实习补贴,提供住宿,法定节假日",2k-3k,3,2,2.5,1年以下
美矣云计算,"移动互联网,电子商务",BD经理,全职,2017-05-10 08:51:11,初创型(不需要融资),"['技术大牛', '项目奖金', '带薪年假', '绩效奖金']",15-50人,杭州,滨江区,市场/商务/销售类,大专,"蓝海市场,前沿技术,销售提成,工作弹性大",15k-25k,25,15,20.0,5-10年
玄武科技,"移动互联网,招聘",测试工程师（云通信产品方向）,全职,2017-05-10 08:51:09,上市公司,"['绩效奖金', '年底双薪', '五险一金', '带薪年假']",500-2000人,广州,天河区,开发/测试/运维类,本科,"上市公司,薪资福利好,团队氛围好",8k-15k,15,8,11.5,不限
智慧星光,数据服务,高级java工程师-数据处理分析方向,全职,2017-05-10 08:51:06,成长型(不需要融资),"['五险一金', '岗位晋升', '带薪年假', '电话交通补贴']",150-500人,北京,海淀区,开发/测试/运维类,本科,"五险一金,带薪年假,交通补助,全勤奖",15k-25k,25,15,20.0,5-10年
广发信用卡中心,金融,市场主任,全职,2017-05-10 08:50:55,成熟型(不需要融资),"['技能培训', '年底双薪', '带薪年假', '绩效奖金']",2000人以上,广州,天河区,市场/商务/销售类,本科,五险一金，周末双休，带薪年假，提供食堂,10k-15k,15,10,12.5,3-5年
汉王精锐,电子商务,销售代表,全职,2017-05-10 08:50:54,初创型(不需要融资),"['绩效奖金', '带薪年假', '午餐补助', '通讯津贴']",15-50人,北京,None,市场/商务/销售类,大专,"五险一金,领导很棒",6k-8k,8,6,7.0,3-5年
苏美达集团,其他,制造板块项目经理,全职,2017-05-10 08:50:50,上市公司,[],2000人以上,南京,玄武区,开发/测试/运维类,本科,"国有企业,上市公司,管理规范,企业文化",10k-20k,20,10,15.0,3-5年
卡拉卡尔,"数据服务,文化娱乐",音乐内容专项运营（古典爵士电子乡村嘻哈等音乐风格）,全职,2017-05-10 08:50:42,成长型(不需要融资),"['技能培训', '节日礼物', '带薪年假', '绩效奖金']",150-500人,成都,高新区,运营/编辑/客服,大专,"五险一金,季度福利假,弹性上班,年终奖",4k-6k,6,4,5.0,1年以下
物银通,"金融,数据服务",大客户经理,全职,2017-05-10 08:50:40,成长型(B轮),"['年底双薪', '股票期权', '专项奖金', '绩效奖金']",50-150人,上海,徐汇区,市场/商务/销售类,大专,"氛围好,福利好,扁平化管理",8k-15k,15,8,11.5,3-5年
自由职客,移动互联网,java,全职,2017-05-10 08:50:39,初创型(未融资),[],50-150人,北京,None,开发/测试/运维类,不限,"高薪,尽快到岗",12k-15k,15,12,13.5,3-5年
汇金智融,"移动互联网,电子商务",高级Java开发,全职,2017-05-10 08:51:46,上市公司,"['年底双薪', '绩效奖金', '带薪年假', '弹性工作']",150-500人,深圳,南山区,开发/测试/运维类,本科,"互联网金融,年终奖,绩效奖金,加班费",15k-18k,18,15,16.5,5-10年
